metric,value
num_samples,2100
sample_rate_hz,50.0
duration_sec,41.97999999999911
eval_start_sec,8.012763340002795
eval_end_sec,49.9927633400019
eval_requested_start_sec,8.0
eval_requested_end_sec,50.0
rmse_q0_rad,0.18706111670264822
mean_correction_norm_rad,0.4962544180702234
max_correction_norm_rad,1.109828546599159
self_unsafe_M_clear_m,-0.12796910089403513
self_unsafe_M_ctr,0.7766666666666666
self_unsafe_M_cc,8
self_safe_M_clear_m,0.028344379404429382
self_safe_M_ctr,0.0
self_safe_M_cc,0
self_delta_M_clear_m,0.1563134802984645
self_delta_M_ctr,-0.7766666666666666
self_delta_M_cc,-8
unsafe_ndtw_link_rad,1.202382515867859
unsafe_ndtw_link_rad_mean,0.30059562896696473
unsafe_dtw_total_cost,732.2509521635259
unsafe_dtw_path_length,609
unsafe_dtw_lag_mean_sec,0.05566502463054067
unsafe_dtw_lag_median_sec,0.019999999999999574
unsafe_dtw_lag_min_sec,-0.0799999999999983
unsafe_dtw_lag_max_sec,0.27999999999999403
unsafe_dtw_lag_abs_mean_sec,0.08272577996715749
unsafe_global_best_lag_sec,0.10000000000000187
unsafe_global_best_lag_cost_rad,1.2246621920535818
unsafe_dtw_num_human_frames,600
unsafe_dtw_num_robot_frames,600
safe_ndtw_link_rad,1.4615483880707276
safe_ndtw_link_rad_mean,0.3653870970176819
safe_dtw_total_cost,897.3907102754272
safe_dtw_path_length,614
safe_dtw_lag_mean_sec,0.5014657980455919
safe_dtw_lag_median_sec,0.539999999999992
safe_dtw_lag_min_sec,-0.020000000000003126
safe_dtw_lag_max_sec,0.7799999999999834
safe_dtw_lag_abs_mean_sec,0.501596091205201
safe_global_best_lag_sec,0.6400000000000023
safe_global_best_lag_cost_rad,1.4848975531089146
safe_dtw_num_human_frames,600
safe_dtw_num_robot_frames,600
zed_indices_used,"{'pelvis': 0, 'spine_1': 1, 'spine_2': 2, 'spine_3': 3, 'neck': 4, 'nose': 5, 'left_clavicle': 10, 'right_clavicle': 11, 'left_shoulder': 12, 'right_shoulder': 13, 'left_elbow': 14, 'right_elbow': 15, 'left_wrist': 16, 'right_wrist': 17, 'left_middle_tip': 34, 'right_middle_tip': 35}"
ndtw_link_definition,"human local torso-frame link directions vs robot local pelvis-frame/capsule-axis directions for Lu,Lf,Ru,Rf; cost=sum acos(dot); capsule axes use sign-invariant min(angle(v), angle(-v)) to remove endpoint-order ambiguity."
